,precision,recall,f1-score,support
Apple Scab,1.0,1.0,1.0,149.0
Apple Black Rot,0.997716894977169,1.0,0.9988571428571429,437.0
Cedar Apple Rust,1.0,1.0,1.0,146.0
Apple Healthy,1.0,0.9971264367816092,0.9985611510791367,348.0
Blueberry Healthy,1.0,1.0,1.0,67.0
Cherry Powdery Mildew,0.9954954954954955,1.0,0.9977426636568849,221.0
Cherry Healthy,1.0,1.0,1.0,239.0
Corn Cercospora Leaf Spot,0.9491525423728814,1.0,0.9739130434782609,112.0
Corn Common Rust,0.9962264150943396,1.0,0.998109640831758,264.0
Corn Northern Leaf Blight,0.9964788732394366,1.0,0.9982363315696648,283.0
Corn Healthy,1.0,0.973568281938326,0.9866071428571429,227.0
Grape Black Rot,1.0,1.0,1.0,266.0
Grape Esca,0.9972222222222222,1.0,0.9986091794158554,359.0
Grape Leaf Blight,1.0,1.0,1.0,90.0
Grape Healthy,1.0,1.0,1.0,273.0
Orange Haunglongbing,1.0,0.9992254066615027,0.9996125532739248,1291.0
Peach Bacterial Spot,1.0,0.9981481481481481,0.9990732159406858,540.0
Peach Healthy,1.0,1.0,1.0,84.0
Pepper Bacterial Spot,1.0,1.0,1.0,255.0
Pepper Healthy,1.0,0.9973821989528796,0.9986893840104849,382.0
Potato Early Blight,1.0,1.0,1.0,250.0
Potato Late Blight,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Potato Healthy,0.99581589958159,0.9916666666666667,0.9937369519832986,240.0
Raspberry Healthy,1.0,1.0,1.0,90.0
Soybean Healthy,0.9991701244813278,0.9983416252072969,0.9987557030277893,1206.0
Squash Powdery Mildew,1.0,1.0,1.0,451.0
Strawberry Leaf Scorch,1.0,1.0,1.0,90.0
Strawberry Healthy,1.0,1.0,1.0,264.0
Tomato Bacterial Spot,0.9900793650793651,0.9940239043824701,0.9920477137176938,502.0
Tomato Early Blight,0.9961240310077519,0.9809160305343512,0.9884615384615385,262.0
Tomato Late Blight,0.9978118161925602,0.991304347826087,0.9945474372955289,460.0
Tomato Leaf Mold,0.9957264957264957,1.0,0.9978586723768736,233.0
Tomato Septoria Leaf Spot,0.9895833333333334,1.0,0.9947643979057592,95.0
Tomato Spider Mites,0.9975490196078431,0.9975490196078431,0.9975490196078431,408.0
Tomato Target Spot,0.995249406175772,0.9976190476190476,0.9964328180737217,420.0
Tomato Yellow Leaf Curl Virus,0.9935483870967742,0.9903536977491961,0.9919484702093397,311.0
Tomato Mosaic Virus,0.9969111969111969,0.9992260061919505,0.998067259373792,1292.0
Tomato healthy,0.9973958333333334,1.0,0.9986962190352021,383.0
accuracy,0.9974679659326325,0.9974679659326325,0.9974679659326325,0.9974679659326325
macro avg,0.9961579352098792,0.9969261843240498,0.9965163641075219,13033.0
weighted avg,0.9974940200597743,0.9974679659326325,0.9974693633937026,13033.0
