,precision,recall,f1-score,support
Apple,0.9986842105263158,0.9960629921259843,0.9973718791064389,762.0
Blueberry,0.9944444444444445,1.0,0.9972144846796658,358.0
Cherry,0.9935205183585313,1.0,0.9967497291440953,460.0
Corn,0.9989200863930886,1.0,0.9994597514856834,925.0
Grape,1.0,1.0,1.0,995.0
Orange,1.0,1.0,1.0,1308.0
Peach,1.0,0.9968152866242038,0.9984051036682615,628.0
"Pepper,",1.0,0.9984051036682615,0.9992019154030327,627.0
Potato,0.9961612284069098,0.9942528735632183,0.9952061361457335,522.0
Raspberry,1.0,1.0,1.0,89.0
Soybean,0.9991816693944353,0.9991816693944353,0.9991816693944353,1222.0
Squash,1.0,1.0,1.0,442.0
Strawberry,1.0,1.0,1.0,369.0
Tomato,0.9995376791493297,0.9995376791493297,0.9995376791493297,4326.0
accuracy,0.9990792603391391,0.9990792603391391,0.9990792603391391,0.9990792603391391
macro avg,0.998603559762361,0.9988754003232451,0.9987377391554768,13033.0
weighted avg,0.9990811907557048,0.9990792603391391,0.999079330319528,13033.0
